Symbol,Final Weighted Rating,GPM,ROA,ROE,Gross Profit Growth,Net Income Growth,EPS Growth,Unweighted Rating
GSBD,167.723,0.796,0.038,0.076,0.1,0.083,0.047,5.0
CSCO,100.239,0.629,0.119,0.346,0.067,104.645,130.5,5.0
UMBF,96.411,1.0,0.009,0.093,0.211,0.246,0.257,5.0
FIX,53.623,0.192,0.076,0.195,0.125,0.013,0.023,5.0
NSP,33.502,0.17,0.108,37.043,0.075,0.116,0.148,5.0
FLY,33.42,0.994,0.02,0.122,0.185,31.996,31.0,5.0
REDU,32.636,0.547,0.063,0.314,0.288,3.853,3.567,5.0
MED,31.268,0.752,0.4,0.743,0.413,0.397,0.418,5.0
OLLI,30.743,0.395,0.088,0.133,0.116,0.045,0.032,5.0
TNET,27.353,0.936,0.077,0.446,0.103,0.104,0.118,5.0
SAH,25.451,0.311,0.035,0.153,0.052,1.791,1.769,5.0
SCVL,24.727,0.301,0.068,0.144,0.009,0.125,0.183,5.0
AME,22.995,0.342,0.09,0.183,0.146,0.142,0.139,5.0
LEN,20.429,0.106,0.059,0.116,0.646,1.092,0.615,5.0
SCM,20.426,0.743,0.05,0.117,0.299,0.158,0.079,5.0
NTAP,18.12,0.642,0.134,1.072,0.067,14.382,15.429,5.0
BPMP,17.477,0.679,0.232,0.699,0.211,0.262,0.244,5.0
DEI,16.291,0.682,0.039,0.134,0.016,2.133,2.074,5.0
NOG,15.939,0.835,0.096,0.334,3.079,16.629,5.067,5.0
PAYC,15.925,1.346,0.09,0.409,0.317,1.052,1.061,5.0
ITW,15.809,0.417,0.172,0.787,0.026,0.519,0.561,5.0
SELF,15.658,0.598,0.011,0.017,0.123,5.234,5.0,5.0
ITIC,15.486,0.981,0.119,0.164,0.149,0.437,0.466,5.0
BLMN,15.387,0.338,0.036,0.767,0.011,0.219,0.272,5.0
POOL,15.02,0.289,0.176,0.638,0.063,0.116,0.129,5.0
SFM,13.585,0.336,0.095,0.269,0.294,0.001,0.051,5.0
STFC,12.912,0.88,0.029,0.091,0.133,5.828,5.7,5.0
IMAX,12.652,0.555,0.026,0.045,0.122,8.746,8.0,5.0
HSBC,12.39,0.846,0.005,0.074,0.084,0.302,0.312,5.0
CAT,12.068,0.324,0.078,0.437,0.23,7.153,7.181,5.0
PLXS,11.973,0.092,0.054,0.125,0.133,7.329,7.975,5.0
VRTX,11.932,0.845,0.336,0.473,0.19,6.958,6.774,5.0
LFVN,11.909,0.832,0.134,0.273,0.117,0.29,0.293,5.0
COLB,11.873,0.972,0.014,0.09,0.031,0.125,0.136,5.0
TJX,11.702,0.285,0.136,0.55,0.065,0.069,0.097,5.0
CHRW,11.629,0.161,0.15,0.417,0.147,0.316,0.331,5.0
CINF,11.57,0.541,0.079,0.202,1.236,5.958,5.955,5.0
ARCC,11.569,0.744,0.067,0.118,0.179,0.286,0.28,5.0
CAKE,10.923,0.774,0.045,0.223,0.067,0.285,0.324,5.0
DRI,10.824,0.187,0.121,0.298,0.067,0.197,0.202,5.0
CARG,10.81,0.945,0.243,0.336,0.434,3.937,3.615,5.0
BOOT,10.703,0.324,0.061,0.148,0.209,0.351,0.287,5.0
BURL,10.47,0.42,0.083,0.881,0.092,0.121,0.135,5.0
SFST,10.272,1.0,0.012,0.135,0.926,1.136,0.989,5.0
KMX,10.265,0.134,0.042,0.236,0.097,0.055,0.116,5.0
GPRK,10.264,0.737,0.084,0.506,1.054,3.989,3.975,5.0
INTU,10.111,0.989,0.248,0.415,0.146,0.286,0.269,5.0
AMH,9.739,0.621,0.009,0.016,0.075,2.66,2.625,5.0
HTA,9.698,0.268,0.034,0.066,0.128,2.34,1.971,5.0
INVA,9.379,1.0,0.721,2.572,0.202,1.945,2.136,5.0
MDC,9.377,0.178,0.07,0.134,0.313,0.486,0.472,5.0
ULTA,9.336,0.362,0.145,0.371,0.113,0.072,0.11,5.0
ORLY,9.312,0.531,0.13,3.501,0.07,0.05,0.111,5.0
MGM,9.281,0.719,0.06,0.265,0.083,3.39,3.756,5.0
OMP,9.256,0.887,0.102,0.402,0.065,1.351,0.874,5.0
KL,9.198,0.533,0.16,0.217,0.689,1.069,1.031,5.0
GOOS,8.91,0.622,0.198,0.36,0.443,0.451,0.413,5.0
AMGN,8.813,0.827,0.126,0.672,0.046,3.242,3.686,5.0
UBS,8.806,1.0,0.005,0.085,0.015,3.637,3.63,5.0
AMED,8.803,0.384,0.166,0.248,0.058,2.939,3.044,5.0
FR,8.653,0.726,0.068,0.135,0.078,0.463,0.443,5.0
JBL,8.631,0.076,0.022,0.152,0.121,2.326,2.7,5.0
MBUU,8.591,0.243,0.146,0.323,0.382,1.393,1.314,5.0
CLF,8.566,0.347,0.32,2.659,0.614,2.074,1.969,5.0
VNO,8.555,0.555,0.026,0.101,0.449,0.979,1.376,5.0
PED,8.553,0.376,0.794,3.159,0.021,2.474,1.772,5.0
CMPR,8.545,0.491,0.051,0.721,0.028,1.173,1.191,5.0
CDNS,8.534,0.967,0.295,0.47,0.101,1.86,1.873,5.0
CNXM,8.491,1.0,0.142,0.452,0.191,0.261,0.291,5.0
HSC,8.476,0.797,0.213,0.68,0.273,2.677,2.724,5.0
QNST,8.45,0.135,0.192,0.28,0.055,2.922,2.706,5.0
CLCT,8.445,0.584,0.265,0.527,0.085,0.6,0.556,5.0
ABG,8.353,0.162,0.063,0.285,0.06,0.098,0.154,5.0
CNHI,8.298,0.227,0.023,0.212,0.101,2.926,2.95,5.0
HII,8.258,0.434,0.131,0.551,0.184,0.745,0.822,5.0
RNR,8.238,0.501,0.028,0.125,1.204,2.293,2.324,5.0
SMMT,8.232,1.0,0.126,0.177,2.343,1.358,1.279,5.0
KEYS,8.197,0.598,0.094,0.207,0.194,2.764,2.761,5.0
MFC,8.197,0.591,0.006,0.099,0.142,1.246,1.252,5.0
MPX,8.19,0.224,0.27,0.366,0.108,0.463,0.509,5.0
CVI,8.12,0.101,0.074,0.232,1.365,0.233,0.156,5.0
MOD,8.1,0.165,0.055,0.159,0.025,2.82,2.795,5.0
SNFCA,8.099,0.992,0.021,0.126,0.009,0.537,0.443,5.0
HSII,7.946,0.973,0.07,0.185,0.152,2.014,2.004,5.0
AZPN,7.936,0.903,0.291,0.668,0.204,0.767,0.825,5.0
TROW,7.924,1.0,0.228,0.3,0.046,0.16,0.19,5.0
STAG,7.879,0.308,0.03,0.058,0.423,1.973,2.435,5.0
GSB,7.876,0.819,0.106,0.229,0.018,1.665,2.0,5.0
RICK,7.876,0.862,0.066,0.141,0.25,0.958,0.991,5.0
MMP,7.867,0.427,0.172,0.505,0.134,0.534,0.533,5.0
PCOM,7.737,0.143,0.064,0.19,0.158,1.305,1.348,5.0
TRI,7.723,1.0,0.232,0.428,0.038,1.831,2.046,5.0
STZ,7.665,0.503,0.118,0.274,0.069,0.482,0.515,5.0
SPGI,7.643,0.731,0.187,4.432,0.075,0.084,0.109,5.0
FBIZ,7.609,1.0,0.011,0.12,0.037,0.431,0.441,5.0
DECK,7.608,0.515,0.185,0.253,0.117,1.311,1.478,5.0
MSFT,7.558,0.659,0.137,0.383,0.152,1.368,1.377,5.0
BSX,7.546,0.71,0.154,0.339,0.087,1.813,1.793,5.0
MTCH,7.541,0.743,0.221,1.672,0.155,0.119,0.104,5.0
ACMR,7.52,0.471,0.087,0.194,0.47,1.874,1.667,5.0
ITT,7.489,0.323,0.087,0.183,0.086,1.94,1.953,5.0
DLHC,7.488,0.223,0.041,0.117,0.187,1.9,1.933,5.0
CSFL,7.472,0.818,0.013,0.078,1.805,0.441,0.056,5.0
LGIH,7.434,0.237,0.107,0.211,0.149,0.15,0.118,5.0
MTOR,7.412,0.146,0.366,0.756,0.024,1.487,1.612,5.0
TRS,7.366,0.278,0.076,0.134,0.114,1.691,1.676,5.0
VMW,7.362,0.985,0.244,0.915,0.212,1.647,1.588,5.0
EL,7.361,0.772,0.136,0.407,0.059,0.611,0.631,5.0
HMLP,7.345,0.835,0.076,0.149,0.023,0.411,0.409,5.0
CORT,7.337,0.999,0.228,0.254,0.223,0.249,0.262,5.0
STWD,7.337,0.897,0.007,0.108,0.093,0.321,0.257,5.0
KOP,7.321,0.193,0.043,0.452,0.023,1.846,1.884,5.0
HR,7.314,0.621,0.022,0.041,0.047,2.021,2.056,5.0
LVS,7.268,0.994,0.116,0.52,0.001,0.118,0.14,5.0
HAS,7.219,0.617,0.059,0.174,0.067,1.361,1.326,5.0
XLNX,7.218,0.688,0.173,0.311,0.18,0.737,0.717,5.0
CPRT,7.198,0.875,0.232,0.333,0.11,0.416,0.428,5.0
NOA,7.194,0.168,0.022,0.102,0.643,1.744,1.877,5.0
WB,7.193,0.838,0.175,0.328,0.568,0.622,0.6,5.0
GRVY,7.192,0.268,0.181,0.412,0.551,1.258,1.261,5.0
NVDA,7.148,0.612,0.312,0.443,0.232,0.359,0.338,5.0
RUSHA,7.126,0.177,0.042,0.122,0.048,0.018,0.087,5.0
RHI,7.121,0.416,0.228,0.408,0.114,0.495,0.538,5.0
UDR,7.112,0.265,0.026,0.07,0.071,0.671,0.682,5.0
BAX,7.069,0.43,0.104,0.208,0.071,1.265,1.303,5.0
FND,7.069,0.411,0.094,0.199,0.227,0.13,0.062,5.0
SAM,7.053,0.491,0.104,0.15,0.199,0.188,0.172,5.0
NKE,7.018,0.447,0.17,0.446,0.095,1.084,1.143,5.0
SPG,6.99,0.569,0.079,0.739,0.022,0.253,0.261,5.0
BWXT,6.989,0.292,0.128,0.604,0.059,0.076,0.118,5.0
CIGI,6.979,0.357,0.041,0.252,0.187,0.901,0.886,5.0
CHE,6.94,0.286,0.173,0.303,0.114,0.07,0.076,5.0
MKC,6.929,0.438,0.091,0.293,0.18,0.955,0.883,5.0
MA,6.915,1.0,0.278,1.378,0.129,0.386,0.417,5.0
CSIQ,6.91,0.207,0.048,0.193,0.216,1.381,1.351,5.0
TREX,6.908,0.411,0.244,0.322,0.039,0.076,0.083,5.0
LANC,6.901,0.249,0.166,0.207,0.075,0.113,0.112,5.0
CFFI,6.901,0.188,0.011,0.114,0.589,0.047,0.062,5.0
AIN,6.898,0.356,0.058,0.137,0.18,1.503,1.495,5.0
AMT,6.891,0.994,0.044,0.373,0.02,0.527,0.53,5.0
TGH,6.883,0.722,0.011,0.042,0.154,1.601,1.588,5.0
TPX,6.874,0.432,0.062,0.527,0.198,0.886,0.881,5.0
TTC,6.852,0.334,0.118,0.319,0.114,0.008,0.004,5.0
LMT,6.834,0.14,0.131,1.992,0.15,0.235,0.245,5.0
BIIB,6.802,0.787,0.175,0.34,0.093,0.745,0.812,5.0
SWCH,6.793,0.475,0.005,0.043,0.21,1.201,0.333,5.0
CCRC,6.781,0.275,0.226,0.306,0.66,0.834,0.833,5.0
EEFT,6.775,0.434,0.074,0.22,0.139,0.489,0.436,5.0
TTWO,6.758,0.429,0.079,0.164,0.28,0.924,0.879,5.0
JKS,6.756,0.14,0.011,0.052,0.125,1.746,1.298,5.0
CCNE,6.735,0.953,0.011,0.131,0.11,0.189,0.19,5.0
DEA,6.727,0.782,0.003,0.007,0.337,0.263,0.111,5.0
WTS,6.689,0.42,0.077,0.144,0.09,0.751,0.759,5.0
ADES,6.683,0.724,0.222,0.522,0.191,0.002,0.101,5.0
OC,6.681,0.231,0.056,0.127,0.038,0.886,0.907,5.0
FICO,6.68,0.71,0.134,0.663,0.141,0.349,0.384,5.0
MTD,6.667,0.579,0.201,1.333,0.034,0.095,0.123,5.0
WHD,6.663,0.649,0.103,0.261,0.104,0.656,0.188,5.0
SCS,6.66,0.326,0.078,0.206,0.117,0.585,0.575,5.0
LAD,6.656,0.154,0.045,0.185,0.099,0.022,0.072,5.0
AY,6.635,0.99,0.004,0.026,0.042,1.372,1.375,5.0
GIB,6.634,1.0,0.096,0.171,0.004,0.043,0.093,5.0
JHX,6.632,0.332,0.057,0.235,0.138,0.566,0.576,5.0
BAM,6.619,0.198,0.014,0.12,0.34,1.451,1.533,5.0
BWA,6.611,0.212,0.092,0.22,0.054,1.116,1.139,5.0
CVGW,6.61,0.107,0.094,0.128,0.127,0.135,0.13,5.0
OSK,6.598,0.181,0.104,0.223,0.119,0.228,0.287,5.0
TRMB,6.574,0.546,0.077,0.165,0.059,0.819,0.814,5.0
TTEC,6.55,0.244,0.056,0.179,0.141,1.154,1.128,5.0
LOGI,6.548,0.372,0.127,0.219,0.141,0.235,0.228,5.0
AWI,6.544,0.381,0.144,0.588,0.185,0.154,0.219,5.0
ODFL,6.539,0.885,0.154,0.2,0.023,0.016,0.038,5.0
ADC,6.534,1.0,0.03,0.047,0.315,0.377,0.089,5.0
UTX,6.524,0.237,0.039,0.137,0.033,0.158,0.142,5.0
UTX#,6.524,0.237,0.039,0.137,0.033,0.158,0.142,5.0
MLR,6.523,0.118,0.1,0.152,0.438,0.699,0.698,5.0
REG,6.511,0.85,0.023,0.039,0.134,0.415,0.46,5.0
WGO,6.507,0.155,0.101,0.177,0.025,0.092,0.096,5.0
NSSC,6.502,0.426,0.142,0.172,0.155,0.598,0.61,5.0
MTZ,6.501,0.155,0.079,0.22,0.147,0.511,0.582,5.0
ZBRA,6.5,0.468,0.115,0.296,0.06,0.292,0.282,5.0
GWW,6.495,0.383,0.141,0.458,0.011,0.086,0.114,5.0
FOXF,6.493,0.323,0.153,0.22,0.181,0.107,0.095,5.0
HDS,6.491,0.393,0.093,0.308,0.012,0.147,0.248,5.0
PRAH,6.49,0.279,0.048,0.147,0.206,0.771,0.727,5.0
JBSS,6.483,0.181,0.101,0.155,0.14,0.217,0.211,5.0
CRWS,6.456,0.292,0.092,0.121,0.128,0.661,0.667,5.0
TDY,6.443,0.393,0.088,0.148,0.119,0.205,0.189,5.0
UONE,6.422,0.714,0.114,0.789,0.013,0.26,0.241,5.0
SHW,6.415,0.449,0.075,0.374,0.083,0.39,0.409,5.0
AHH,6.412,0.414,0.013,0.059,0.312,0.398,0.139,5.0
SAFT,6.408,0.419,0.049,0.123,0.048,0.197,0.19,5.0
CRMT,6.407,0.363,0.097,0.183,0.092,0.305,0.387,5.0
KEN,6.404,0.205,0.298,0.669,0.091,0.835,0.834,5.0
CIX,6.402,0.314,0.09,0.099,0.018,0.044,0.049,5.0
AJG,6.396,0.7,0.034,0.13,0.142,0.056,0.037,5.0
SBRA,6.39,0.921,0.042,0.086,0.48,0.762,0.079,5.0
EBF,6.381,0.308,0.103,0.129,0.055,0.138,0.115,5.0
MGRC,6.376,0.467,0.074,0.153,0.141,0.219,0.213,5.0
CAMT,6.373,0.494,0.132,0.185,0.336,0.342,0.3,5.0
CDW,6.372,0.169,0.092,0.767,0.123,0.146,0.192,5.0
CRVL,6.372,0.21,0.147,0.24,0.164,0.308,0.305,5.0
DCI,6.37,0.333,0.125,0.299,0.014,0.482,0.507,5.0
TILE,6.351,0.391,0.056,0.215,0.238,0.576,0.595,5.0
TBK,6.351,1.0,0.012,0.092,0.304,0.132,0.097,5.0
CASS,6.35,1.0,0.018,0.132,0.096,0.21,0.212,5.0
FSV,6.338,0.316,0.065,0.279,0.131,0.28,0.28,5.0
NOMD,6.338,0.301,0.032,0.083,0.044,0.201,0.191,5.0
OEC,6.332,0.272,0.095,0.763,0.09,0.791,0.792,5.0
UFPT,6.327,0.272,0.105,0.122,0.117,0.38,0.364,5.0
BR,6.318,0.272,0.124,0.428,0.06,0.127,0.137,5.0
VSEC,6.312,0.573,0.044,0.102,0.097,0.055,0.046,5.0
EC,6.307,0.4,0.091,0.206,0.322,0.456,0.456,5.0
TD,6.287,1.0,0.008,0.142,0.057,0.06,0.075,5.0
RS,6.28,0.303,0.086,0.135,0.015,0.107,0.185,5.0
LDOS,6.278,0.148,0.066,0.176,0.206,0.587,0.598,5.0
TRU,6.27,0.671,0.049,0.154,0.167,0.254,0.233,5.0
HXL,6.269,0.272,0.098,0.212,0.103,0.108,0.148,5.0
PAYX,6.25,0.688,0.119,0.395,0.098,0.108,0.108,5.0
BLD,6.247,0.26,0.073,0.166,0.182,0.417,0.464,5.0
FSS,6.229,0.264,0.093,0.169,0.144,0.154,0.146,5.0
REGI,6.227,0.201,0.213,0.336,0.262,0.3,0.432,5.0
SSD,6.226,0.433,0.122,0.15,0.024,0.058,0.095,5.0
DE,6.225,0.96,0.045,0.285,0.048,0.374,0.401,5.0
OGE,6.222,0.647,0.039,0.105,0.049,0.019,0.019,5.0
RMD,6.221,0.59,0.098,0.195,0.128,0.282,0.281,5.0
FFNW,6.217,1.0,0.012,0.097,0.195,0.757,0.756,5.0
CM,6.217,1.0,0.009,0.151,0.078,0.096,0.021,5.0
WSO,6.214,0.246,0.112,0.18,0.051,0.167,0.119,5.0
ROIC,6.213,0.852,0.014,0.036,0.076,0.111,0.086,5.0
BOOM,6.213,0.365,0.123,0.198,0.309,0.117,0.117,5.0
TTD,6.207,0.764,0.063,0.177,0.39,0.229,0.168,5.0
ADP,6.204,0.42,0.055,0.425,0.11,0.415,0.432,5.0
ITRN,6.202,0.503,0.162,0.395,0.067,0.386,0.378,5.0
PSA,6.2,0.544,0.157,0.188,0.028,0.186,0.268,5.0
RY,6.199,0.937,0.009,0.155,0.044,0.068,0.088,5.0
EME,6.195,0.148,0.067,0.158,0.125,0.147,0.184,5.0
BNS,6.194,1.0,0.009,0.131,0.043,0.045,0.036,5.0
ROK,6.185,0.433,0.114,1.721,0.01,0.299,0.377,5.0
KO,6.163,0.608,0.103,0.47,0.128,0.386,0.384,5.0
IOSP,6.157,0.295,0.058,0.103,0.079,0.375,0.359,5.0
WST,6.153,0.329,0.103,0.154,0.111,0.168,0.168,5.0
BRKR,6.15,0.48,0.071,0.217,0.106,0.097,0.104,5.0
WMS,6.148,0.236,0.075,0.202,0.081,0.254,0.23,5.0
BMO,6.146,1.0,0.007,0.119,0.018,0.003,0.014,5.0
ALGN,6.142,0.725,0.177,0.329,0.204,0.106,0.114,5.0
DORM,6.139,0.383,0.151,0.184,0.041,0.253,0.287,5.0
CHKP,6.135,0.895,0.141,0.218,0.045,0.023,0.063,5.0
ROLL,6.134,0.394,0.092,0.109,0.072,0.207,0.187,5.0
UNF,6.133,0.37,0.087,0.109,0.048,0.093,0.128,5.0
FBHS,6.122,0.356,0.069,0.178,0.047,0.109,0.149,5.0
FUNC,6.109,0.596,0.009,0.104,0.051,0.231,0.225,5.0
CTAS,6.107,0.454,0.119,0.295,0.076,0.05,0.06,5.0
ENS,6.107,0.247,0.051,0.125,0.055,0.34,0.349,5.0
CNXN,6.104,0.16,0.088,0.137,0.098,0.271,0.289,5.0
WRB,6.101,0.483,0.026,0.118,0.009,0.167,0.15,5.0
GD,6.094,0.179,0.071,0.257,0.051,0.042,0.067,5.0
ATR,6.085,0.289,0.068,0.154,0.099,0.244,0.221,5.0
CW,6.08,0.361,0.082,0.173,0.032,0.115,0.146,5.0
DOV,6.064,0.689,0.078,0.224,0.024,0.189,0.229,5.0
GNRC,6.064,0.362,0.095,0.244,0.1,0.058,0.146,5.0
TRNS,6.05,0.245,0.068,0.12,0.051,0.207,0.193,5.0
FGBI,6.045,1.0,0.008,0.097,0.057,0.209,0.175,5.0
HRZN,6.042,0.75,0.049,0.097,0.145,0.356,0.361,5.0
LEG,6.04,0.208,0.091,0.265,0.024,0.046,0.06,5.0
TRV,6.038,0.394,0.024,0.101,0.038,0.039,0.068,5.0
CMC,6.032,0.138,0.053,0.122,0.291,0.43,0.412,5.0
BLDR,6.028,0.272,0.068,0.269,0.028,0.081,0.073,5.0
VMC,6.017,0.255,0.058,0.11,0.141,0.197,0.197,5.0
MIDD,6.015,0.373,0.07,0.181,0.099,0.111,0.109,5.0
PEG,6.015,0.665,0.035,0.112,0.036,0.177,0.175,5.0
BCPC,6.011,0.328,0.069,0.107,0.035,0.014,0.012,5.0
PBHC,6.01,1.0,0.004,0.063,0.105,0.155,0.128,5.0
MVBF,6.004,1.0,0.007,0.068,0.066,0.627,0.507,5.0
WVFC,5.992,1.0,0.008,0.078,0.079,0.315,0.353,5.0
ASGN,5.99,0.288,0.059,0.127,0.104,0.108,0.111,5.0
PRIM,5.985,0.107,0.045,0.131,0.016,0.063,0.073,5.0
ACN,5.982,0.308,0.16,0.332,0.07,0.177,0.159,5.0
OFS,5.972,0.75,0.022,0.055,0.261,0.21,0.125,5.0
PLUS,5.965,0.241,0.08,0.149,0.021,0.146,0.175,5.0
BBSI,5.963,0.221,0.056,0.281,0.116,0.269,0.251,5.0
GIII,5.963,0.354,0.056,0.111,0.01,0.042,0.06,5.0
DXPE,5.962,0.274,0.046,0.105,0.045,0.011,0.01,5.0
DG,5.962,0.305,0.12,0.248,0.088,0.077,0.115,5.0
HDB,5.951,1.0,0.017,0.135,0.102,0.16,0.117,5.0
ROCK,5.942,0.234,0.066,0.097,0.01,0.02,0.005,5.0
NWE,5.934,0.747,0.034,0.099,0.023,0.026,0.018,5.0
TTEK,5.887,0.131,0.074,0.16,0.062,0.159,0.175,5.0
FDUS,5.884,0.69,0.071,0.123,0.101,0.125,0.08,5.0
IR,5.872,0.308,0.075,0.19,0.099,0.027,0.059,5.0
TECD,5.859,0.062,0.028,0.12,0.019,0.1,0.158,5.0
WEC,5.854,0.644,0.032,0.112,0.013,0.071,0.071,5.0
NGVT,5.846,0.373,0.086,0.346,0.156,0.086,0.092,5.0
G,5.839,0.36,0.08,0.201,0.022,0.072,0.088,5.0
ATI,5.776,0.155,0.046,0.123,0.012,0.158,0.152,5.0
VFC,5.769,0.507,0.122,0.293,0.009,0.029,0.028,5.0
GEO,5.767,0.249,0.039,0.167,0.072,0.148,0.157,5.0
SQM,5.65,0.345,0.103,0.211,0.026,0.028,0.028,5.0
CBRE,5.618,0.218,0.079,0.206,0.064,0.206,0.22,5.0
IPG,5.616,0.146,0.037,0.236,0.083,0.06,0.056,5.0
VTR,5.479,0.161,0.018,0.04,0.004,0.058,0.026,5.0
